brand,series_name,marketing_name,generation_year,panel_tech,tier,os,model_code_base,resolution,refresh_rate_native,hdr_formats,processor,dimming,peak_brightness_nits,sku_full,size_inch,region,price_msrp,gaming_features,connectivity
Hisense,UR9,ULED UR9 RGB,2026,Mini-LED,flagship,Google-TV,UR9,4K,165,Dolby Vision|HDR10+|HLG,Hi-View Engine X,mini-led,5000,75UR9,75,US,,VRR|ALLM|165Hz|FreeSync Premium Pro|Game Mode Pro,HDMI2.1 x2|eARC|WiFi|Bluetooth
Hisense,UR8,ULED UR8 RGB,2026,Mini-LED,high,Google-TV,UR8,4K,165,Dolby Vision|HDR10+|HLG,Hi-View Engine X,mini-led,4000,65UR8,65,US,,VRR|ALLM|165Hz|FreeSync Premium Pro|Game Mode Pro,HDMI2.1 x2|eARC|WiFi|Bluetooth
LG,QNED82,QNED82A,2025,LED-LCD,mid,webOS,QNED82A,4K,120,Dolby Vision|HDR10|HLG,α8 AI Gen2,edge-lit,700,65QNED82AUA,65,US,,VRR|ALLM|120Hz|FreeSync,HDMI2.1 x2|eARC|WiFi|Bluetooth
LG,QNED70,QNED70A,2025,LED-LCD,entry,webOS,QNED70A,4K,60,HDR10|HLG,α7 AI Gen8,none,400,65QNED70AUA,65,US,,ALLM|VRR,HDMI2.0 x3|eARC|WiFi|Bluetooth
Sony,BRAVIA8,BRAVIA 8,2024,WOLED,high,Google-TV,XR80,4K,120,Dolby Vision|HDR10|HLG,XR Processor,per-pixel,1300,K-65XR80,65,US,,VRR|ALLM|120Hz,HDMI2.1 x2|eARC|WiFi|Bluetooth
Sony,BRAVIA3,BRAVIA 3,2024,LED-LCD,entry,Google-TV,S30,4K,60,Dolby Vision|HDR10|HLG,4K Processor X1,none,400,K-65S30,65,US,,ALLM,HDMI2.0 x2|eARC|WiFi|Bluetooth
Huawei,Vision6,Vision Smart Screen 6,2026,Mini-LED,flagship,HarmonyOS,Vision6,4K,144,HDR10|HLG,Honghu,mini-led,2000,HW-VISION6-65,65,Global,,VRR|ALLM|288Hz,HDMI2.1 x3|eARC|WiFi|Bluetooth
Huawei,Vision6SE,Vision Smart Screen 6 SE,2026,Mini-LED,high,HarmonyOS,Vision6SE,4K,240,HDR10|HLG,Honghu,mini-led,1000,HW-VISION6SE-65,65,Global,,VRR|ALLM|288Hz,HDMI2.1 x2|eARC|WiFi|Bluetooth
Xiaomi,S Pro,Xiaomi TV S Pro Mini LED 2026,2026,Mini-LED,high,Google-TV,S-Pro26,4K,144,Dolby Vision|HDR10+|HLG,MediaTek,mini-led,1700,XM-SPRO26-65,65,Global,,VRR|ALLM|144Hz|Dolby Vision Gaming,HDMI2.1 x2|eARC|WiFi|Bluetooth
Xiaomi,S 2026,Xiaomi TV S Mini LED 2026,2026,Mini-LED,mid,Google-TV,S-2026,4K,60,Dolby Vision|HDR10+|HLG,MediaTek,mini-led,1200,XM-S26-65,65,Global,,VRR|ALLM,HDMI2.1 x2|eARC|WiFi|Bluetooth
LG,T,SIGNATURE OLED T,2024,WOLED,flagship,webOS,T4,4K,120,Dolby Vision|HDR10|HLG,α11 AI,per-pixel,650,OLED77T4PUA,77,US,60000,VRR|ALLM|120Hz|G-Sync|FreeSync,HDMI2.1 x4|eARC|WiFi|Bluetooth
Hisense,UX,ULED X UX 2026 RGB,2026,Mini-LED,flagship,VIDAA,UX26,4K,180,Dolby Vision|HDR10+|HLG,信芯 H7 Pro,mini-led,10000,HU-UX26-85,85,CN,34999,VRR|ALLM|180Hz|Game Mode Pro,HDMI2.1 x2|eARC|WiFi|Bluetooth
Hisense,E8,ULED E8S RGB,2026,Mini-LED,high,VIDAA,E8S,4K,165,Dolby Vision|HDR10+|HLG,信芯,mini-led,5000,HU-E8S-85,85,CN,17999,VRR|ALLM|165Hz|Game Mode Pro,HDMI2.1 x2|eARC|WiFi|Bluetooth
Huawei,V5 Max,智慧屏 V5 Max 110,2025,Mini-LED,flagship,HarmonyOS,V5Max,4K,120,HDR10|HLG,鸿鹄,mini-led,5000,HW-V5MAX-110,110,CN,69999,VRR|ALLM|120Hz,HDMI2.1 x1|HDMI2.0 x2|eARC|WiFi|Bluetooth
Huawei,V5 Pro,智慧屏 V5 Pro,2023,Mini-LED,flagship,HarmonyOS,V5Pro,4K,120,HDR10|HLG,鸿鹄,mini-led,2000,HW-V5PRO-98,98,CN,,VRR|ALLM|120Hz,HDMI2.1 x2|eARC|WiFi|Bluetooth
TCL,Q10K,Q10K 旗舰 Mini LED,2024,Mini-LED,flagship,Android-TV,Q10K,4K,144,Dolby Vision|HDR10+|HLG,AiPQ,mini-led,3800,TCL-Q10K-85,85,CN,,VRR|ALLM|144Hz|Game Master,HDMI2.1 x2|eARC|WiFi|Bluetooth
Xiaomi,大师 OLED,小米电视 大师 OLED,2024,WOLED,flagship,Android-TV,MasterOLED,4K,120,Dolby Vision|HDR10+|HLG,MediaTek,per-pixel,1000,XM-MASTER-OLED-65,65,CN,,VRR|ALLM|120Hz|Dolby Vision Gaming,HDMI2.1 x3|eARC|WiFi|Bluetooth
삼성,QN90,Neo QLED 4K,2023,Neo-QLED,flagship,Tizen,QN90C,4K,120,HDR10+|HLG,NQ4 AI Gen2,mini-led,2000,QN65QN90CAFXZA,65,US,,VRR|ALLM|120Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,QN85,Neo QLED 4K,2023,Neo-QLED,high,Tizen,QN85C,4K,120,HDR10+|HLG,NQ4 AI Gen2,mini-led,1400,QN65QN85CAFXZA,65,US,,VRR|ALLM|120Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,QN900,Neo QLED 8K,2023,Neo-QLED,flagship,Tizen,QN900C,8K,120,HDR10+|HLG,NQ8 AI Gen2,mini-led,2000,QN65QN900CAFXZA,65,US,,VRR|ALLM|120Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,S90,OLED,2023,QD-OLED,flagship,Tizen,S90C,4K,120,HDR10+|HLG,NQ4 AI Gen2,per-pixel,1000,QN65S90CAFXZA,65,US,,VRR|ALLM|144Hz|FreeSync Premium,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,QN95,Neo QLED 4K,2024,Neo-QLED,flagship,Tizen,QN95D,4K,144,HDR10+|HLG,NQ4 AI Gen3,mini-led,2000,QE65QN95DATXXU,65,EU,,VRR|ALLM|144Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
Sony,X95L,BRAVIA XR X95L,2023,Mini-LED,high,Google-TV,X95L,4K,120,Dolby Vision|HDR10|HLG,XR Processor,mini-led,1300,K-65X95L,65,US,,VRR|ALLM|120Hz,HDMI2.1 x2|eARC|WiFi|Bluetooth
Hisense,U7,ULED U7K,2023,Mini-LED,high,Google-TV,U7K,4K,144,Dolby Vision|HDR10+|HLG,Hi-View,mini-led,1000,65U7K,65,US,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Mode Pro,HDMI2.1 x2|eARC|WiFi|Bluetooth
Hisense,U6,ULED U6K,2023,Mini-LED,mid,Google-TV,U6K,4K,60,Dolby Vision|HDR10+|HLG,Hi-View,mini-led,600,65U6K,65,US,,VRR|ALLM,HDMI2.0 x3|eARC|WiFi|Bluetooth
LG,B,OLED B3,2023,WOLED,mid,webOS,B3,4K,120,Dolby Vision|HDR10|HLG,α7 AI Gen6,per-pixel,650,OLED65B3PUA,65,US,,VRR|ALLM|120Hz|G-Sync|FreeSync,HDMI2.1 x4|eARC|WiFi|Bluetooth
LG,Z,SIGNATURE OLED Z3 8K,2023,WOLED,flagship,webOS,Z3,8K,120,Dolby Vision|HDR10|HLG,α9 AI Gen6 8K,per-pixel,700,OLED77Z3PUA,77,US,,VRR|ALLM|120Hz|G-Sync|FreeSync,HDMI2.1 x4|eARC|WiFi|Bluetooth
TCL,RM9,RM9L RGB Mini LED,2026,Mini-LED,flagship,Google-TV,RM9L,4K,144,Dolby Vision|HDR10+|HLG,AiPQ Ultra,mini-led,5000,85RM9L,85,US,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Master,HDMI2.1 x2|eARC|WiFi|Bluetooth
